"unid","gender","working","volunteer","leadershiprole","peoplelive","peoplelive_15plus","numchildren","numearnincome","anygrant","anyhhincome","financial_situation_now","financial_situation_5years","givemoney_yes","cft_score","com_score","grit_score","num_score","opt_score","age_squared","survey_year","survey_month"
11878,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,4,NA,NA,841,2018,5
3900,"0","0","1","0",9,8,0,NA,"1","1",1,10,"1",NA,NA,2,NA,10,961,2017,12
78560,"1","0","1","1",6,4,1,NA,"1","1",2,10,"1",4,NA,2,NA,8,484,2017,10
73626,"0","1","0","0",4,NA,0,1,"1","1",1,10,"1",5,7,7,1,8,441,2016,11
1212,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,1156,2017,11
52168,"0","0","0","1",2,NA,0,1,"0","1",1,9,"0",4,NA,0,NA,12,529,2017,1
57060,"0","1","0","1",2,1,0,NA,"1","1",4,10,"0",7,9,7,4,8,529,2017,3
29556,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,2,NA,NA,729,2018,5
42762,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,9,NA,NA,625,2018,6
92757,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,441,2018,3
60768,"0","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,5,5,3,6,NA,576,2018,7
36625,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,5,NA,NA,676,2018,5
96646,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,9,NA,NA,400,2018,5
98315,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,5,NA,NA,400,2018,5
33484,"1","0","1","1",4,NA,0,1,"1","1",2,8,"0",3,5,9,NA,8,576,2016,3
2520,"0","0","0","0",1,NA,2,1,"0","1",1,10,"1",4,5,0,NA,9,961,2016,3
88592,"1","0","0","1",6,4,0,NA,"1","1",3,10,"1",7,6,5,5,4,400,2017,4
61045,"1","0","0","1",3,NA,0,1,"1","1",1,10,"0",5,4,0,3,7,484,2016,8
66559,"1","1","1","1",5,5,0,NA,"1","1",3,8,"1",8,5,7,3,4,484,2017,3
